Date,Actual,LMD_ARIMA,LMD_SD_ARIMA_XGBoost
2021-08-06,68.26,67.91868220461765,-57.12590379538234
2021-08-09,66.56,68.65513627821565,-299.8315237217843
2021-08-10,68.33,68.28002482308966,-259.94437517691034
2021-08-11,69.3,67.57770588041603,42.33402288041603
2021-08-12,69.12,67.70551228915429,-126.96991771084572
2021-08-13,68.36,69.15790579837267,-67.46105420162732
2021-08-16,67.44,69.77503881859411,-119.82202118140589
2021-08-17,66.5,68.34585266790282,-312.1649473320972
2021-08-18,65.36,66.29296520235766,-313.58283479764236
2021-08-19,63.69,65.19346545877761,-65.6238845412224
2021-08-20,62.25,64.56890172409112,-66.04904827590889
2021-08-23,65.65,63.31679857180325,-78.72681142819675
2021-08-24,67.5,63.52304315857464,41.79608315857464
2021-08-25,68.54,65.58172187716445,-168.99519812283555
2021-08-26,67.42,68.7682265788136,-143.1445834211864
2021-08-27,68.84,69.4532431270909,-132.2215768729091
2021-08-30,69.28,68.43686799852867,-122.23284200147134
2021-08-31,68.43,67.75773331741016,-167.78303668258985
2021-09-01,68.63,68.54604134135639,-62.314308658643625
2021-09-02,70.07,69.45048864657156,72.47659644657156
2021-09-03,69.34,69.62164601429163,220.63577601429162
2021-09-07,68.49,69.20674064930131,-3.5586993506986886
2021-09-08,69.36,68.98760206254269,41.52765606254269
2021-09-09,68.26,69.08308189545892,-39.36351210454109
2021-09-10,69.82,68.60466615131469,-210.48279384868533
2021-09-13,70.54,69.07515090764974,-209.60489909235025
2021-09-14,70.53,69.93714560073585,242.29752560073584
2021-09-15,72.59,70.82782736073989,242.8891673607399
2021-09-16,72.69,71.94562013542486,154.63193013542485
2021-09-17,72.09,72.49293340838182,17.951429408381813
2021-09-20,70.41,72.64992374438964,239.46892374438963
2021-09-21,70.51,71.55416368709027,169.01711368709027
2021-09-22,72.37,70.28973236086586,45.074751360865854
2021-09-23,73.43,70.6223764960148,153.70159649601482
2021-09-24,74.18,72.62618141908723,139.42340741908723
2021-09-27,75.54,74.71082930265328,97.95786930265328
2021-09-28,75.44,75.59879288064661,-50.121483119353385
2021-09-29,75.06,75.2953580875257,215.9832380875257
2021-09-30,75.22,75.042265937129,111.685865937129
2021-10-01,76.01,75.15918738381728,111.79447138381728
2021-10-04,77.68,75.62306036964114,-141.28723963035887
2021-10-05,79.17,76.78343408407034,140.19542108407035
2021-10-06,77.66,78.48658838188888,38.059052381888876
2021-10-07,78.46,78.94026715928038,-219.94823284071964
2021-10-08,79.55,78.64300632620632,-141.15158367379368
2021-10-11,80.64,78.35964814389092,-301.74399185610906
2021-10-12,80.75,79.57940034027669,-324.9840796597233
2021-10-13,80.67,81.18977503102889,233.86901503102888
2021-10-14,81.43,81.55354721538627,197.87628721538627
2021-10-15,82.39,81.02764032901848,197.2442903290185
2021-10-18,82.62,81.21863876044137,197.32953876044138
2021-10-19,83.19,82.41109865658999,177.38157265658998
2021-10-20,84.4,83.5757104056604,-24.5419995943396
2021-10-21,82.64,84.10703544016084,-23.85612955983916
2021-10-22,84.53,83.3545808222308,-11.966909177769196
2021-10-25,84.64,83.61875338892482,-3.1415766110751804
2021-10-26,85.64,84.13865281879521,132.18091981879522
2021-10-27,82.66,85.4316402794664,-11.70791972053361
2021-10-28,82.78,84.67511950477967,72.96247300477967
2021-10-29,83.5,83.10553448010828,-100.09996551989173
2021-11-01,84.08,82.05902244141163,-27.218337558588374
2021-11-02,83.91,83.10315604824325,41.39012804824325
2021-11-03,80.82,84.66445890021942,-64.05081109978059
2021-11-04,78.88,83.396423523327,79.158127023327
2021-11-05,81.25,79.93478015022346,194.53543015022348
2021-11-08,81.96,78.50312325035807,130.28690625035807
2021-11-09,84.12,80.30392480521441,-84.9880051947856
2021-11-10,81.23,84.17768348673364,-104.78270651326635
2021-11-11,81.47,84.24560304001602,243.23986304001602
2021-11-12,80.87,81.86319130495049,90.28537130495049
2021-11-15,80.85,79.47121453011849,-163.62731546988152
2021-11-16,80.76,79.94524961842879,-151.70315038157122
2021-11-17,78.32,81.4698883843234,-201.49861161567662
2021-11-18,78.92,80.54654060866234,16.709977608662342
2021-11-19,76.11,78.59854706053639,81.73373996053638
2021-11-22,76.74,76.22404346400732,58.90507346400732
2021-11-23,78.32,76.2008751432769,36.4418111432769
2021-11-24,78.32,77.47618652406568,131.49262052406567
2021-11-29,69.88,78.5963984682203,215.87483846822028
2021-11-30,66.14,75.02770553820663,131.79095053820663
2021-12-01,65.44,68.64448513357586,74.99467413357586
2021-12-02,66.6,63.234289927859066,-125.71361007214094
2021-12-03,66.39,63.59712725450063,64.65204365450063
2021-12-06,69.62,67.14187238987489,15.181697389874891
2021-12-07,71.94,70.16217117420703,-107.55502882579296
2021-12-08,72.43,70.8948104182976,-93.2127195817024
2021-12-09,70.87,71.50643683563275,-97.58493316436726
2021-12-10,71.71,71.95467365472447,-95.67702634527552
2021-12-13,71.19,72.01722848938736,3.545428489387362
2021-12-14,70.57,71.07510299310177,2.7196189931017614
2021-12-15,70.89,70.5151731641995,94.6600401641995
2021-12-16,72.34,70.70825384625857,42.27441584625857
2021-12-17,70.93,71.62299190918748,33.38477190918748
2021-12-20,68.69,71.75174239489934,33.557528394899336
2021-12-21,71.1,70.39503662157472,49.05641362157472
2021-12-22,72.82,69.62750121975341,48.31684721975341
2021-12-23,73.89,70.67654632915128,49.39393832915128
2021-12-27,75.49,73.61427643063689,-0.5489935693631054
2021-12-28,76.01,76.03719624390396,106.44108124390397
2021-12-29,76.58,76.2949299938291,57.4876029938291
2021-12-30,76.83,75.9543421962212,35.0450561962212
2021-12-31,75.33,76.28139010477071,219.5865201047707
2022-01-03,75.99,76.35114230388353,213.59047230388353
2022-01-04,77.0,76.15561100348941,32.29399300348941
2022-01-05,77.83,76.01885730766344,156.72082230766344
2022-01-06,79.47,77.00289938150445,-80.56341061849554
2022-01-07,79.0,78.99196256882237,-71.80524743117763
2022-01-10,78.11,79.83319569662638,-125.30614430337363
2022-01-11,81.17,79.05120319471871,13.135063194718711
2022-01-12,82.51,79.17933975918777,97.36302475918777
2022-01-13,81.97,80.89561745477283,121.16502745477283
2022-01-14,83.82,83.01249825446513,6.545338254465122
2022-01-18,85.42,84.14479755215154,-6.2877424478484585
2022-01-19,86.84,84.27129384348702,-38.456321156512985
2022-01-20,86.29,85.51270762590883,-37.06107237409117
2022-01-21,85.16,86.95644536301893,136.41863536301892
2022-01-24,84.48,86.75209900050575,34.52832900050575
2022-01-25,86.61,84.8554032347684,32.8347582347684
2022-01-26,88.33,84.47101184623125,90.24063484623125
2022-01-27,87.61,86.69229165631532,56.04104665631532
2022-01-28,87.67,88.97274268771736,-16.022387312282646
2022-01-31,89.16,89.05953974820939,22.882095748209395
2022-02-01,88.22,87.99372972233743,117.17955172233744
2022-02-02,88.16,87.53429440570818,-26.565391594291825
2022-02-03,90.17,88.47663115916998,37.31815315916998
2022-02-04,92.27,89.73114443866723,-62.595305561332765
2022-02-07,91.25,91.07125486648924,-99.29916513351075
2022-02-08,89.32,91.82343176175164,-124.63403823824837
2022-02-09,89.57,91.092018222931,-154.460701777069
2022-02-10,89.83,89.47834470445191,-155.71364529554808
2022-02-11,93.1,88.6036042484475,-43.77789575155249
2022-02-14,95.52,90.95250279116448,-100.50882720883553
